pdb_id,seed,is_winner,residues,ca_rmsd,heavy_atom_rmsd,sidechain_heavy_atom_rmsd,tm_score_ca_ordered,global_topology_applied,global_topology_candidate_kind,global_topology_candidate_label,global_topology_axis,global_topology_reason,global_topology_tested_candidates,global_topology_before_rmsd,global_topology_after_rmsd,global_topology_best_candidate_rmsd,global_topology_before_local_chirality,global_topology_after_local_chirality,global_topology_before_window_match,global_topology_after_window_match,global_topology_before_domain_match,global_topology_after_domain_match,rigid_domain_reconv_applied,rigid_domain_reconv_passes,rigid_domain_reconv_accepted,rigid_domain_reconv_tested_candidates,rigid_domain_reconv_before_rmsd,rigid_domain_reconv_after_rmsd,rigid_domain_reconv_before_inter_err,rigid_domain_reconv_after_inter_err,topology_reconv_applied,topology_reconv_passes,topology_reconv_accepted,topology_reconv_before_rmsd,topology_reconv_after_rmsd,topology_reconv_before_close_err,topology_reconv_after_close_err,pre_local_rmsd,localized_anchor_rmsd,phase_b_ca_drift,lj_severe,lj_near,ramachandran_forbidden_fraction,rotamer_outlier_fraction,disulfides_expected,disulfides_locked,contact_f1,bin_accuracy,verdict,primary_failure_reason,success_lt_1a,success_lt_1p5a,success_lt_2a,best_of_n_runs,winner_seed,best_candidate_ca_rmsd,worst_candidate_ca_rmsd,runtime_s,returncode
1GCN,0,False,27,2.734444541769792,4.6734067451462025,5.739313246472265,0.2155527653711612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9523809523809523,0.87,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,54.61,0
1GCN,1,False,27,2.504114856307351,5.014368239723361,6.3239252277877185,0.42581195473023864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9761904761904762,0.9032258064516129,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,52.94,0
1GCN,2,False,27,2.675021477485672,4.031584456881211,4.619240750416369,0.24221950847722026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9761904761904762,0.7733333333333333,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,52.94,0
1GCN,3,False,27,2.9551949374207513,5.115630239676293,6.375061473710845,0.2723587552671078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,1.0,0.9147058823529411,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,63.61,0
1GCN,4,False,27,3.057950724010972,5.368779228976408,6.7687288713765446,0.285183247598265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,1.0,0.9589442815249267,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,57.98,0
1GCN,5,False,27,3.0903416313000305,5.317401724663922,6.575066497163698,0.28673931794491114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,1.0,0.9647058823529412,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,52.17,0
1GCN,6,True,27,1.2813815368247603,3.725950354044235,4.497579684508993,0.5940301526327237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9761904761904762,0.9120234604105572,PASS_WITH_WARNINGS,BACKBONE_NEAR_MISS_LT_1A,False,True,True,,,,,50.64,0
1GCN,7,False,27,2.0176312865940984,4.053859679040286,5.168596908631342,0.4166291852721225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9523809523809523,0.9002932551319648,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,51.89,0
1GCN,8,False,27,2.36994360122696,4.468513195769212,5.4413763501897225,0.2920799435027717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9285714285714286,0.7666666666666667,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,52.55,0
1GCN,9,False,27,2.499086740437479,5.047904280835389,6.443306554264671,0.333187457928555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9523809523809523,0.9120234604105572,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,51.28,0
