pdb_id,seed,is_winner,residues,ca_rmsd,heavy_atom_rmsd,sidechain_heavy_atom_rmsd,tm_score_ca_ordered,global_topology_applied,global_topology_candidate_kind,global_topology_candidate_label,global_topology_axis,global_topology_reason,global_topology_tested_candidates,global_topology_before_rmsd,global_topology_after_rmsd,global_topology_best_candidate_rmsd,global_topology_before_local_chirality,global_topology_after_local_chirality,global_topology_before_window_match,global_topology_after_window_match,global_topology_before_domain_match,global_topology_after_domain_match,rigid_domain_reconv_applied,rigid_domain_reconv_passes,rigid_domain_reconv_accepted,rigid_domain_reconv_tested_candidates,rigid_domain_reconv_before_rmsd,rigid_domain_reconv_after_rmsd,rigid_domain_reconv_before_inter_err,rigid_domain_reconv_after_inter_err,topology_reconv_applied,topology_reconv_passes,topology_reconv_accepted,topology_reconv_before_rmsd,topology_reconv_after_rmsd,topology_reconv_before_close_err,topology_reconv_after_close_err,pre_local_rmsd,localized_anchor_rmsd,phase_b_ca_drift,lj_severe,lj_near,ramachandran_forbidden_fraction,rotamer_outlier_fraction,disulfides_expected,disulfides_locked,contact_f1,bin_accuracy,verdict,primary_failure_reason,success_lt_1a,success_lt_1p5a,success_lt_2a,best_of_n_runs,winner_seed,best_candidate_ca_rmsd,worst_candidate_ca_rmsd,runtime_s,returncode
1JRJ,0,False,37,0.48613946985345907,2.574773756270748,3.229447437746753,0.9416245632746776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9846153846153847,0.9630252100840336,PASS_WITH_WARNINGS,HEAVY_ATOM_RMSD_HIGH,True,True,True,,,,,84.27,0
1JRJ,1,False,37,0.4825823174007334,2.0412354369198855,2.42300677095248,0.9428233760847191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9846153846153847,0.9466248037676609,PASS,,True,True,True,,,,,76.88,0
1JRJ,2,False,37,0.48806287739219234,2.376156971375858,3.077627806457012,0.9438727551669864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9846153846153847,0.9647058823529412,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,True,True,True,,,,,74.16,0
1JRJ,3,False,37,3.239141033428098,5.052084231619094,6.433779522510431,0.37376031445353836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,0.0,0,0,0.9076923076923076,0.7990580847723705,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,88.66,0
1JRJ,4,False,37,0.46905674825416405,2.864029642988218,3.8260941472828223,0.9435840471214963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9846153846153847,0.9372056514913658,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,True,True,True,,,,,87.33,0
1JRJ,5,False,37,2.7745749593426594,4.01957451851527,4.956321754306838,0.5497900559326648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9692307692307692,0.9372056514913658,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,87.36,0
1JRJ,6,False,37,0.41772738480545596,2.5491052907540097,3.1565986572362816,0.951681423852331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,1.0,0.9591836734693877,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,True,True,True,,,,,86.38,0
1JRJ,7,True,37,0.35538466103623545,2.503726251142894,3.2208752520868247,0.9629878517875531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9846153846153847,0.9638932496075353,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,True,True,True,,,,,87.86,0
1JRJ,8,False,37,0.43553525903669527,2.2003008582950963,2.789884274889697,0.9491112573010961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9846153846153847,0.9630252100840336,PASS,,True,True,True,,,,,86.38,0
1JRJ,9,False,37,0.4943908241701838,2.2450444829144334,2.9563547908311087,0.9415713586982185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9846153846153847,0.945054945054945,PASS,,True,True,True,,,,,77.28,0
