i,j,partner_a,partner_b,kind
7,11,S7,K11,helix
11,15,K11,E15,helix
13,17,M13,A17,helix
15,19,E15,R19,helix
17,21,A17,F21,helix
24,28,W24,G28,helix
27,31,N27,S31,helix
28,32,G28,S32,helix
18,36,V18,P36,sheet
18,37,V18,P37,sheet
20,26,L20,K26,sheet
20,29,L20,G29,sheet
20,35,L20,P35,sheet
20,36,L20,P36,sheet
20,37,L20,P37,sheet
22,29,I22,G29,sheet
22,35,I22,P35,sheet
22,36,I22,P36,sheet
22,37,I22,P37,sheet
26,35,K26,P35,sheet
26,36,K26,P36,sheet
26,37,K26,P37,sheet
29,35,G29,P35,sheet
29,36,G29,P36,sheet
29,37,G29,P37,sheet
