i,j,partner_a,partner_b,kind
4,8,T4,D8,helix
6,10,I6,S10,helix
7,11,S7,I11,helix
8,12,D8,A12,helix
10,14,S10,D14,helix
11,15,I11,K15,helix
12,16,A12,I16,helix
13,17,M13,H17,helix
14,18,D14,Q18,helix
15,19,K15,Q19,helix
16,20,I16,D20,helix
17,21,H17,F21,helix
18,22,Q18,V22,helix
19,23,Q19,N23,helix
20,24,D20,W24,helix
21,25,F21,L25,helix
22,26,V22,L26,helix
23,27,N23,A27,helix
24,28,W24,Q28,helix
27,31,A27,K31,helix
28,32,Q28,K32,helix
31,35,K31,W35,helix
32,36,K32,K36,helix
33,37,N33,H37,helix
34,38,D34,N38,helix
35,39,W35,I39,helix
2,9,E2,Y9,sheet
3,9,G3,Y9,sheet
9,29,Y9,K29,sheet
29,40,K29,T40,sheet
