pdb_id,seed,is_winner,residues,ca_rmsd,heavy_atom_rmsd,sidechain_heavy_atom_rmsd,tm_score_ca_ordered,global_topology_applied,global_topology_candidate_kind,global_topology_candidate_label,global_topology_axis,global_topology_reason,global_topology_tested_candidates,global_topology_before_rmsd,global_topology_after_rmsd,global_topology_best_candidate_rmsd,global_topology_before_local_chirality,global_topology_after_local_chirality,global_topology_before_window_match,global_topology_after_window_match,global_topology_before_domain_match,global_topology_after_domain_match,rigid_domain_reconv_applied,rigid_domain_reconv_passes,rigid_domain_reconv_accepted,rigid_domain_reconv_tested_candidates,rigid_domain_reconv_before_rmsd,rigid_domain_reconv_after_rmsd,rigid_domain_reconv_before_inter_err,rigid_domain_reconv_after_inter_err,topology_reconv_applied,topology_reconv_passes,topology_reconv_accepted,topology_reconv_before_rmsd,topology_reconv_after_rmsd,topology_reconv_before_close_err,topology_reconv_after_close_err,pre_local_rmsd,localized_anchor_rmsd,phase_b_ca_drift,lj_severe,lj_near,ramachandran_forbidden_fraction,rotamer_outlier_fraction,disulfides_expected,disulfides_locked,contact_f1,bin_accuracy,verdict,primary_failure_reason,success_lt_1a,success_lt_1p5a,success_lt_2a,best_of_n_runs,winner_seed,best_candidate_ca_rmsd,worst_candidate_ca_rmsd,runtime_s,returncode
3IOL,0,False,24,3.6302596736290855,5.485960056862551,6.625035834533092,0.14836185800072496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8292682926829268,0.8478260869565217,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,39.25,0
3IOL,1,False,24,3.373134727873449,4.995375091346058,6.111365452335871,0.12864090129985242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8536585365853658,0.873015873015873,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,39.36,0
3IOL,2,False,24,3.499669478889321,5.257821088828754,6.447577327144754,0.10662775374974076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8780487804878049,0.7608695652173914,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,38.62,0
3IOL,3,False,24,2.8052247246204236,5.156461639391011,6.624986080933082,0.17207746123433973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8048780487804877,0.873015873015873,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,37.89,0
3IOL,4,False,24,2.931419639623111,5.738337978199201,7.44250639663435,0.1637117208587552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8780487804878049,0.8095238095238095,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,42.42,0
3IOL,5,False,24,3.0301727235287705,4.638569419269035,5.631297204604077,0.15723332955387712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8780487804878049,0.7936507936507936,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,39.19,0
3IOL,6,False,24,2.7513848936496306,5.261450689546339,6.77001342221846,0.14866527752037262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8536585365853658,0.746031746031746,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,40.25,0
3IOL,7,True,24,2.2409260815996057,4.106804884295086,5.226325360875494,0.19343417409761252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.926829268292683,0.8888888888888888,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,39.08,0
3IOL,8,False,24,3.691873499109104,5.597526448281544,6.659474710279746,0.11781056980287306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8536585365853658,0.8043478260869565,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,40.36,0
3IOL,9,False,24,2.9469887124956875,5.122389654065358,6.516806442448901,0.11643868482587626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8780487804878049,0.8253968253968254,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,45.27,0
