i,j,partner_a,partner_b,kind
6,10,T6,S10,helix
4,9,T4,Y9,sheet
8,13,D8,L13,sheet
8,14,D8,D14,sheet
9,14,Y9,D14,sheet
9,15,Y9,S15,sheet
11,17,K11,R17,sheet
11,18,K11,A18,sheet
12,17,Y12,R17,sheet
12,18,Y12,A18,sheet
12,19,Y12,Q19,sheet
13,18,L13,A18,sheet
13,19,L13,Q19,sheet
13,21,L13,F21,sheet
14,19,D14,Q19,sheet
14,21,D14,F21,sheet
15,21,S15,F21,sheet
15,22,S15,V22,sheet
17,22,R17,V22,sheet
17,24,R17,W24,sheet
18,24,A18,W24,sheet
19,24,Q19,W24,sheet
19,26,Q19,M26,sheet
21,26,F21,M26,sheet
21,27,F21,N27,sheet
22,27,V22,N27,sheet
