i,j,partner_a,partner_b,kind
7,11,S7,K11,helix
11,15,K11,E15,helix
13,17,M13,A17,helix
15,19,E15,R19,helix
17,21,A17,F21,helix
19,23,R19,E23,helix
21,25,F21,L25,helix
23,27,E23,N27,helix
6,12,T6,Q12,sheet
6,14,T6,E14,sheet
12,18,Q12,V18,sheet
18,24,V18,W24,sheet
18,36,V18,P36,sheet
18,37,V18,P37,sheet
24,32,W24,S32,sheet
24,34,W24,A34,sheet
24,35,W24,P35,sheet
24,36,W24,P36,sheet
24,37,W24,P37,sheet
26,32,K26,S32,sheet
26,34,K26,A34,sheet
26,35,K26,P35,sheet
26,36,K26,P36,sheet
26,37,K26,P37,sheet
