i,j,partner_a,partner_b,kind
15,19,E15,R19,helix
19,23,R19,E23,helix
4,10,T4,S10,sheet
5,10,F5,S10,sheet
8,14,D8,E14,sheet
10,16,S10,E16,sheet
18,24,V18,W24,sheet
18,25,V18,L25,sheet
18,36,V18,P36,sheet
18,37,V18,P37,sheet
24,30,W24,P30,sheet
24,32,W24,S32,sheet
24,34,W24,A34,sheet
24,36,W24,P36,sheet
24,37,W24,P37,sheet
25,30,L25,P30,sheet
25,32,L25,S32,sheet
25,34,L25,A34,sheet
25,36,L25,P36,sheet
25,37,L25,P37,sheet
27,32,N27,S32,sheet
27,34,N27,A34,sheet
27,36,N27,P36,sheet
27,37,N27,P37,sheet
30,36,P30,P36,sheet
30,37,P30,P37,sheet
