i,j,partner_a,partner_b,kind
3,7,G3,S7,helix
29,33,K29,N33,helix
1,9,A1,Y9,sheet
1,10,A1,S10,sheet
2,9,E2,Y9,sheet
2,10,E2,S10,sheet
2,12,E2,A12,sheet
10,15,S10,K15,sheet
10,16,S10,I16,sheet
10,18,S10,Q18,sheet
12,18,A12,Q18,sheet
12,20,A12,D20,sheet
13,18,M13,Q18,sheet
13,20,M13,D20,sheet
15,20,K15,D20,sheet
15,21,K15,F21,sheet
15,23,K15,N23,sheet
16,21,I16,F21,sheet
16,23,I16,N23,sheet
18,23,Q18,N23,sheet
18,25,Q18,L25,sheet
20,25,D20,L25,sheet
20,27,D20,A27,sheet
20,28,D20,Q28,sheet
21,27,F21,A27,sheet
21,28,F21,Q28,sheet
23,28,N23,Q28,sheet
23,30,N23,G30,sheet
25,30,L25,G30,sheet
25,31,L25,K31,sheet
35,40,W35,T40,sheet
