pdb_id,seed,is_winner,residues,ca_rmsd,heavy_atom_rmsd,sidechain_heavy_atom_rmsd,tm_score_ca_ordered,global_topology_applied,global_topology_candidate_kind,global_topology_candidate_label,global_topology_axis,global_topology_reason,global_topology_tested_candidates,global_topology_before_rmsd,global_topology_after_rmsd,global_topology_best_candidate_rmsd,global_topology_before_local_chirality,global_topology_after_local_chirality,global_topology_before_window_match,global_topology_after_window_match,global_topology_before_domain_match,global_topology_after_domain_match,rigid_domain_reconv_applied,rigid_domain_reconv_passes,rigid_domain_reconv_accepted,rigid_domain_reconv_tested_candidates,rigid_domain_reconv_before_rmsd,rigid_domain_reconv_after_rmsd,rigid_domain_reconv_before_inter_err,rigid_domain_reconv_after_inter_err,topology_reconv_applied,topology_reconv_passes,topology_reconv_accepted,topology_reconv_before_rmsd,topology_reconv_after_rmsd,topology_reconv_before_close_err,topology_reconv_after_close_err,pre_local_rmsd,localized_anchor_rmsd,phase_b_ca_drift,lj_severe,lj_near,ramachandran_forbidden_fraction,rotamer_outlier_fraction,disulfides_expected,disulfides_locked,contact_f1,bin_accuracy,verdict,primary_failure_reason,success_lt_1a,success_lt_1p5a,success_lt_2a,best_of_n_runs,winner_seed,best_candidate_ca_rmsd,worst_candidate_ca_rmsd,runtime_s,returncode
3IOL,0,False,24,3.8320742157192496,5.11438040413038,6.060148759613532,0.11760959437078623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8292682926829268,0.675,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,51.14,0
3IOL,1,False,24,3.895168502595745,5.945672298856118,7.388806556670661,0.11848131966196485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8048780487804877,0.8285714285714286,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,52.95,0
3IOL,2,False,24,3.330190959720017,5.768584869972049,7.274613420440458,0.16033775838006115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8292682926829268,0.6416666666666667,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,41.47,0
3IOL,3,False,24,3.3358361122421254,4.8276189803216925,5.922084397639567,0.1081865626335956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.7560975609756099,0.7686567164179104,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,53.39,0
3IOL,4,False,24,3.8355106421170673,5.7889555512626965,6.8976104642136,0.07580349394609126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.7560975609756099,0.6917293233082706,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,48.7,0
3IOL,5,True,24,3.165100909753079,5.446295475811736,6.91847263476348,0.12611424519486766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8292682926829268,0.7681159420289855,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,49.64,0
3IOL,6,False,24,3.448880807684402,5.535208480325759,7.086932708331973,0.10252442540241262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.7804878048780488,0.7638888888888888,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,52.48,0
3IOL,7,False,24,3.7487542869385315,5.79368527444924,7.067536602492894,0.09203286292568212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.7804878048780488,0.7971014492753623,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,49.94,0
3IOL,8,False,24,3.4385226076980158,5.535676478775719,6.8957741126194145,0.18012935956345064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8780487804878049,0.7355371900826446,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,48.81,0
3IOL,9,False,24,3.813581148081355,5.425334425025371,6.629319634705781,0.10832812718607193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8048780487804877,0.8043478260869565,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,55.7,0
