i,j,partner_a,partner_b,kind
8,12,S8,G12,helix
2,9,F2,Y9,sheet
4,9,S4,Y9,sheet
4,11,S4,E11,sheet
9,14,Y9,A14,sheet
9,15,Y9,A15,sheet
9,16,Y9,K16,sheet
9,17,Y9,E17,sheet
11,16,E11,K16,sheet
11,17,E11,E17,sheet
11,18,E11,F18,sheet
13,18,Q13,F18,sheet
13,19,Q13,I19,sheet
13,20,Q13,A20,sheet
14,19,A14,I19,sheet
14,20,A14,A20,sheet
14,21,A14,W21,sheet
15,20,A15,A20,sheet
15,21,A15,W21,sheet
15,22,A15,L22,sheet
16,21,K16,W21,sheet
16,22,K16,L22,sheet
17,22,E17,L22,sheet
17,24,E17,K24,sheet
18,24,F18,K24,sheet
19,24,I19,K24,sheet
