i,j,partner_a,partner_b,kind
4,8,T4,D8,helix
5,9,F5,V9,helix
9,13,V9,L13,helix
10,14,S10,E14,helix
11,15,S11,G15,helix
13,17,L13,A17,helix
14,18,E14,A18,helix
15,19,G15,K19,helix
18,22,A18,I22,helix
19,23,K19,A23,helix
20,24,E20,W24,helix
23,27,A23,K27,helix
2,7,E2,S7,sheet
2,12,E2,Y12,sheet
2,16,E2,Q16,sheet
7,12,S7,Y12,sheet
7,16,S7,Q16,sheet
7,21,S7,F21,sheet
12,21,Y12,F21,sheet
12,26,Y12,V26,sheet
16,21,Q16,F21,sheet
16,26,Q16,V26,sheet
16,28,Q16,G28,sheet
21,26,F21,V26,sheet
21,28,F21,G28,sheet
