i,j,partner_a,partner_b,kind
6,10,T6,S10,helix
9,13,L9,M13,helix
13,17,M13,A17,helix
17,21,A17,F21,helix
20,24,L20,W24,helix
21,25,F21,L25,helix
24,28,W24,G28,helix
25,29,L25,G29,helix
28,32,G28,S32,helix
29,33,G29,G33,helix
32,36,S32,P36,helix
1,15,G1,E15,sheet
1,16,G1,E16,sheet
2,15,E2,E15,sheet
16,22,E16,I22,sheet
22,27,I22,N27,sheet
22,34,I22,A34,sheet
22,35,I22,P35,sheet
22,37,I22,P37,sheet
23,30,E23,P30,sheet
23,34,E23,A34,sheet
23,35,E23,P35,sheet
23,37,E23,P37,sheet
26,34,K26,A34,sheet
26,35,K26,P35,sheet
26,37,K26,P37,sheet
27,34,N27,A34,sheet
27,35,N27,P35,sheet
27,37,N27,P37,sheet
30,35,P30,P35,sheet
30,37,P30,P37,sheet
