i,j,partner_a,partner_b,kind
3,7,G3,S7,helix
5,9,F5,Y9,helix
6,10,T6,S10,helix
9,13,Y9,L13,helix
18,22,A18,V22,helix
21,25,F21,L25,helix
1,8,S1,D8,sheet
1,11,S1,K11,sheet
1,14,S1,D14,sheet
1,19,S1,Q19,sheet
2,8,Q2,D8,sheet
2,11,Q2,K11,sheet
2,14,Q2,D14,sheet
2,19,Q2,Q19,sheet
4,11,T4,K11,sheet
4,14,T4,D14,sheet
4,19,T4,Q19,sheet
4,24,T4,W24,sheet
8,14,D8,D14,sheet
8,19,D8,Q19,sheet
8,24,D8,W24,sheet
8,26,D8,M26,sheet
8,27,D8,N27,sheet
11,19,K11,Q19,sheet
11,24,K11,W24,sheet
11,26,K11,M26,sheet
14,19,D14,Q19,sheet
14,26,D14,M26,sheet
19,24,Q19,W24,sheet
19,26,Q19,M26,sheet
19,27,Q19,N27,sheet
