i,j,partner_a,partner_b,kind
2,6,E2,I6,helix
3,7,G3,S7,helix
4,8,T4,D8,helix
6,10,I6,S10,helix
7,11,S7,I11,helix
11,15,I11,K15,helix
23,27,N23,A27,helix
26,30,L26,G30,helix
27,31,A27,K31,helix
28,32,Q28,K32,helix
30,34,G30,D34,helix
32,36,K32,K36,helix
33,37,N33,H37,helix
34,38,D34,N38,helix
9,14,Y9,D14,sheet
9,19,Y9,Q19,sheet
9,20,Y9,D20,sheet
9,25,Y9,L25,sheet
14,19,D14,Q19,sheet
14,20,D14,D20,sheet
14,25,D14,L25,sheet
19,25,Q19,L25,sheet
20,25,D20,L25,sheet
20,40,D20,T40,sheet
25,40,L25,T40,sheet
