i,j,partner_a,partner_b,kind
5,9,F5,L9,helix
6,10,T6,S10,helix
7,11,S7,K11,helix
8,12,D8,Q12,helix
9,13,L9,M13,helix
10,14,S10,E14,helix
11,15,K11,E15,helix
12,16,Q12,E16,helix
13,17,M13,A17,helix
14,18,E14,V18,helix
15,19,E15,R19,helix
16,20,E16,L20,helix
17,21,A17,F21,helix
18,22,V18,I22,helix
19,23,R19,E23,helix
20,24,L20,W24,helix
21,25,F21,L25,helix
22,26,I22,K26,helix
24,28,W24,G28,helix
27,32,N27,S32,sheet
27,35,N27,P35,sheet
27,36,N27,P36,sheet
27,37,N27,P37,sheet
29,35,G29,P35,sheet
29,36,G29,P36,sheet
29,37,G29,P37,sheet
