pdb_id,seed,is_blind_winner,residues,ca_rmsd,heavy_atom_rmsd,sidechain_heavy_atom_rmsd,tm_score_ca_ordered,global_topology_applied,global_topology_candidate_kind,global_topology_candidate_label,global_topology_axis,global_topology_reason,global_topology_tested_candidates,global_topology_before_rmsd,global_topology_after_rmsd,global_topology_best_candidate_rmsd,global_topology_before_local_chirality,global_topology_after_local_chirality,global_topology_before_window_match,global_topology_after_window_match,global_topology_before_domain_match,global_topology_after_domain_match,rigid_domain_reconv_applied,rigid_domain_reconv_passes,rigid_domain_reconv_accepted,rigid_domain_reconv_tested_candidates,rigid_domain_reconv_before_rmsd,rigid_domain_reconv_after_rmsd,rigid_domain_reconv_before_inter_err,rigid_domain_reconv_after_inter_err,topology_reconv_applied,topology_reconv_passes,topology_reconv_accepted,topology_reconv_before_rmsd,topology_reconv_after_rmsd,topology_reconv_before_close_err,topology_reconv_after_close_err,pre_local_rmsd,localized_anchor_rmsd,phase_b_ca_drift,lj_severe,lj_near,ramachandran_forbidden_fraction,rotamer_outlier_fraction,disulfides_expected,disulfides_locked,contact_f1,bin_accuracy,verdict,primary_failure_reason,success_lt_1a,success_lt_1p5a,success_lt_2a,best_of_n_runs,winner_seed,best_candidate_ca_rmsd,worst_candidate_ca_rmsd,runtime_s,returncode
1JRJ,0,False,37,3.2742121821411696,5.540164058184362,7.20054359441328,0.3243993103243212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0.0,0.0,0,0,0.8000000000000002,0.6645161290322581,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,73.38,0
1JRJ,1,False,37,3.642488463603353,5.516986307170147,6.559178529976708,0.3789475334853387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.7846153846153847,0.7908163265306123,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,72.36,0
1JRJ,2,False,37,4.0220498591181855,5.296782457684354,6.488916565411103,0.3129886567837157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8461538461538461,0.7806451612903226,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,74.72,0
1JRJ,3,False,37,3.0982664426675783,4.7229447391832515,5.935474366404253,0.38888975420943644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8769230769230769,0.8418367346938775,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,76.91,0
1JRJ,4,True,37,2.0962471934754583,2.8494213071367938,3.278548037721428,0.5229201044771544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9076923076923076,0.9081632653061225,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,57.5,0
1JRJ,5,False,37,2.5959204472227553,4.305419831204149,5.651847244311988,0.46474639159921116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8615384615384615,0.8622448979591837,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,69.72,0
1JRJ,6,False,37,3.447896956930321,4.8750582161832945,5.955203108342189,0.3630125023759795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0.0,0.0,0,0,0.7538461538461538,0.7755102040816326,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,70.64,0
1JRJ,7,False,37,4.168365913549525,5.642084051420418,6.582270301255248,0.3263429809923556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8923076923076924,0.8418367346938775,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,85.45,0
1JRJ,8,False,37,3.258557005736341,4.86854030543868,6.175134094586847,0.3311620786361987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,0.0,0,0,0.7538461538461538,0.7677419354838709,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,31.5,0
1JRJ,9,False,37,1.9213669337068493,3.550965984192785,4.591232621172869,0.6782599022296899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9538461538461539,0.8928571428571429,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,True,,,,,61.89,0
