i,j,partner_a,partner_b,kind
5,9,F5,L9,helix
6,10,T6,S10,helix
7,11,S7,K11,helix
8,12,D8,Q12,helix
11,15,K11,E15,helix
12,16,Q12,E16,helix
15,19,E15,R19,helix
17,21,A17,F21,helix
19,23,R19,E23,helix
22,26,I22,K26,helix
24,28,W24,G28,helix
29,33,G29,G33,helix
13,20,M13,L20,sheet
14,20,E14,L20,sheet
20,25,L20,L25,sheet
20,27,L20,N27,sheet
20,36,L20,P36,sheet
20,37,L20,P37,sheet
25,30,L25,P30,sheet
25,32,L25,S32,sheet
25,34,L25,A34,sheet
25,36,L25,P36,sheet
25,37,L25,P37,sheet
27,32,N27,S32,sheet
27,34,N27,A34,sheet
27,36,N27,P36,sheet
27,37,N27,P37,sheet
30,36,P30,P36,sheet
30,37,P30,P37,sheet
