i,j,partner_a,partner_b,kind
3,7,G3,S7,helix
9,13,V9,L13,helix
19,23,K19,A23,helix
21,25,F21,L25,helix
23,27,A23,K27,helix
2,10,E2,S10,sheet
2,12,E2,Y12,sheet
4,10,T4,S10,sheet
4,12,T4,Y12,sheet
6,12,T6,Y12,sheet
6,15,T6,G15,sheet
8,15,D8,G15,sheet
8,17,D8,A17,sheet
8,28,D8,G28,sheet
10,15,S10,G15,sheet
10,17,S10,A17,sheet
10,22,S10,I22,sheet
10,28,S10,G28,sheet
12,17,Y12,A17,sheet
12,22,Y12,I22,sheet
12,28,Y12,G28,sheet
15,22,G15,I22,sheet
15,28,G15,G28,sheet
17,22,A17,I22,sheet
17,28,A17,G28,sheet
22,28,I22,G28,sheet
