pdb_id,seed,is_blind_winner,residues,ca_rmsd,heavy_atom_rmsd,sidechain_heavy_atom_rmsd,tm_score_ca_ordered,global_topology_applied,global_topology_candidate_kind,global_topology_candidate_label,global_topology_axis,global_topology_reason,global_topology_tested_candidates,global_topology_before_rmsd,global_topology_after_rmsd,global_topology_best_candidate_rmsd,global_topology_before_local_chirality,global_topology_after_local_chirality,global_topology_before_window_match,global_topology_after_window_match,global_topology_before_domain_match,global_topology_after_domain_match,rigid_domain_reconv_applied,rigid_domain_reconv_passes,rigid_domain_reconv_accepted,rigid_domain_reconv_tested_candidates,rigid_domain_reconv_before_rmsd,rigid_domain_reconv_after_rmsd,rigid_domain_reconv_before_inter_err,rigid_domain_reconv_after_inter_err,topology_reconv_applied,topology_reconv_passes,topology_reconv_accepted,topology_reconv_before_rmsd,topology_reconv_after_rmsd,topology_reconv_before_close_err,topology_reconv_after_close_err,pre_local_rmsd,localized_anchor_rmsd,phase_b_ca_drift,lj_severe,lj_near,ramachandran_forbidden_fraction,rotamer_outlier_fraction,disulfides_expected,disulfides_locked,contact_f1,bin_accuracy,verdict,primary_failure_reason,success_lt_1a,success_lt_1p5a,success_lt_2a,best_of_n_runs,winner_seed,best_candidate_ca_rmsd,worst_candidate_ca_rmsd,runtime_s,returncode
1JRJ,0,False,37,6.824233274635276,8.039713826387151,9.313005279014142,0.0862839166840167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0.0,0.0,0,0,0.5538461538461539,0.3652694610778443,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,100.34,0
1JRJ,1,False,37,6.5641714274916625,7.685147928773188,8.795046981204115,0.14908361120075028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0.0,0.0,0,0,0.5692307692307692,0.3632075471698113,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,99.89,0
1JRJ,2,False,37,4.306247791661919,5.4318477359580335,6.287013785432677,0.2209783954164087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0.0,0.0,0,0,0.6615384615384615,0.4311377245508982,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,102.28,0
1JRJ,3,False,37,4.917785459546666,6.3169920088566025,7.500127664217831,0.187166464152449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0.0,0.0,0,0,0.6307692307692307,0.4567307692307692,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,94.97,0
1JRJ,4,False,37,11.853454287087272,12.107216355578018,12.347504715456024,0.03269074979118345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0.0,0.0,0,0,0.47692307692307695,0.4880382775119617,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,52.11,0
1JRJ,5,False,37,7.652618497286982,7.864592333523638,7.770748672897013,0.0919536764200033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0.0,0.0,0,0,0.6,0.5518867924528302,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,97.41,0
1JRJ,6,False,37,4.367264660894026,5.468241944845336,6.322761661848988,0.19224748218632662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0.0,0.0,0,0,0.6461538461538462,0.5024154589371981,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,97.42,0
1JRJ,7,True,37,3.782749975717214,5.418124672129522,6.693437869828242,0.26874027152047797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0.0,0.0,0,0,0.6923076923076923,0.5648148148148148,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,96.31,0
1JRJ,8,False,37,6.537026182250157,7.259363270960548,7.894121418653373,0.09599555441053761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0.0,0.0,0,0,0.5846153846153846,0.32335329341317365,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,94.59,0
1JRJ,9,False,37,5.539553379538783,6.8050749022398875,7.715618891905166,0.15565164228967787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.6923076923076923,0.5240384615384616,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,94.52,0
