i,j,partner_a,partner_b,kind
15,19,E15,R19,helix
17,21,A17,F21,helix
21,25,F21,L25,helix
22,26,I22,K26,helix
5,11,F5,K11,sheet
5,12,F5,Q12,sheet
7,12,S7,Q12,sheet
11,16,K11,E16,sheet
12,18,Q12,V18,sheet
16,23,E16,E23,sheet
18,23,V18,E23,sheet
18,37,V18,P37,sheet
23,29,E23,G29,sheet
23,32,E23,S32,sheet
23,34,E23,A34,sheet
23,35,E23,P35,sheet
23,37,E23,P37,sheet
27,32,N27,S32,sheet
27,34,N27,A34,sheet
27,35,N27,P35,sheet
27,37,N27,P37,sheet
29,34,G29,A34,sheet
29,35,G29,P35,sheet
29,37,G29,P37,sheet
32,37,S32,P37,sheet
