i,j,partner_a,partner_b,kind
16,20,R16,D20,helix
20,24,D20,W24,helix
22,26,V22,M26,helix
2,7,Q2,S7,sheet
2,8,Q2,D8,sheet
2,17,Q2,R17,sheet
3,8,G3,D8,sheet
3,9,G3,Y9,sheet
3,10,G3,S10,sheet
3,12,G3,Y12,sheet
3,13,G3,L13,sheet
3,19,G3,Q19,sheet
4,9,T4,Y9,sheet
4,10,T4,S10,sheet
7,12,S7,Y12,sheet
7,13,S7,L13,sheet
8,13,D8,L13,sheet
9,15,Y9,S15,sheet
10,15,S10,S15,sheet
10,17,S10,R17,sheet
10,19,S10,Q19,sheet
10,21,S10,F21,sheet
12,17,Y12,R17,sheet
12,19,Y12,Q19,sheet
12,21,Y12,F21,sheet
13,19,L13,Q19,sheet
13,21,L13,F21,sheet
19,27,Q19,N27,sheet
21,27,F21,N27,sheet
