i,j,partner_a,partner_b,kind
20,24,D20,W24,helix
2,8,E2,D8,sheet
2,9,E2,Y9,sheet
4,9,T4,Y9,sheet
9,15,Y9,K15,sheet
12,18,A12,Q18,sheet
16,22,I16,V22,sheet
22,40,V22,T40,sheet
25,30,L25,G30,sheet
25,40,L25,T40,sheet
28,33,Q28,N33,sheet
28,34,Q28,D34,sheet
28,35,Q28,W35,sheet
28,36,Q28,K36,sheet
28,37,Q28,H37,sheet
28,40,Q28,T40,sheet
29,34,K29,D34,sheet
29,35,K29,W35,sheet
29,36,K29,K36,sheet
29,37,K29,H37,sheet
29,40,K29,T40,sheet
30,35,G30,W35,sheet
30,36,G30,K36,sheet
30,37,G30,H37,sheet
30,40,G30,T40,sheet
31,36,K31,K36,sheet
31,37,K31,H37,sheet
31,40,K31,T40,sheet
