i,j,partner_a,partner_b,kind
6,10,T6,S10,helix
9,13,L9,M13,helix
10,14,S10,E14,helix
13,17,M13,A17,helix
14,18,E14,V18,helix
15,19,E15,R19,helix
17,21,A17,F21,helix
18,22,V18,I22,helix
19,23,R19,E23,helix
21,25,F21,L25,helix
22,26,I22,K26,helix
26,30,K26,P30,helix
24,29,W24,G29,sheet
24,32,W24,S32,sheet
24,34,W24,A34,sheet
24,36,W24,P36,sheet
24,37,W24,P37,sheet
27,32,N27,S32,sheet
27,34,N27,A34,sheet
27,36,N27,P36,sheet
27,37,N27,P37,sheet
29,34,G29,A34,sheet
29,36,G29,P36,sheet
29,37,G29,P37,sheet
32,37,S32,P37,sheet
