pdb_id,seed,is_winner,residues,ca_rmsd,heavy_atom_rmsd,sidechain_heavy_atom_rmsd,tm_score_ca_ordered,global_topology_applied,global_topology_candidate_kind,global_topology_candidate_label,global_topology_axis,global_topology_reason,global_topology_tested_candidates,global_topology_before_rmsd,global_topology_after_rmsd,global_topology_best_candidate_rmsd,global_topology_before_local_chirality,global_topology_after_local_chirality,global_topology_before_window_match,global_topology_after_window_match,global_topology_before_domain_match,global_topology_after_domain_match,rigid_domain_reconv_applied,rigid_domain_reconv_passes,rigid_domain_reconv_accepted,rigid_domain_reconv_tested_candidates,rigid_domain_reconv_before_rmsd,rigid_domain_reconv_after_rmsd,rigid_domain_reconv_before_inter_err,rigid_domain_reconv_after_inter_err,topology_reconv_applied,topology_reconv_passes,topology_reconv_accepted,topology_reconv_before_rmsd,topology_reconv_after_rmsd,topology_reconv_before_close_err,topology_reconv_after_close_err,pre_local_rmsd,localized_anchor_rmsd,phase_b_ca_drift,lj_severe,lj_near,ramachandran_forbidden_fraction,rotamer_outlier_fraction,disulfides_expected,disulfides_locked,contact_f1,bin_accuracy,verdict,primary_failure_reason,success_lt_1a,success_lt_1p5a,success_lt_2a,best_of_n_runs,winner_seed,best_candidate_ca_rmsd,worst_candidate_ca_rmsd,runtime_s,returncode
1JRJ,0,False,37,3.6237273446183385,5.027657072761455,6.030886684396865,0.3271306036931877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,0.0,0,0,0.7692307692307693,0.3983193277310924,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,76.58,0
1JRJ,1,False,37,3.4209305931641376,4.675703820457658,5.653730092895003,0.36472190201705934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.7692307692307693,0.4040066777963272,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,81.02,0
1JRJ,2,False,37,3.2645392213022557,4.595282494133304,5.608983946501564,0.3231605370225565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8000000000000002,0.4369747899159664,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,87.81,0
1JRJ,3,False,37,3.8897674684725114,4.998567239184238,6.058602106884754,0.2800693143800314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,0.0,0,0,0.8461538461538461,0.4117647058823529,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,77.8,0
1JRJ,4,False,37,3.446142781440184,4.879208052965045,5.881900742089779,0.3472798074446468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,0.0,0,0,0.6923076923076923,0.3973288814691152,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,84.09,0
1JRJ,5,False,37,4.556570585658379,5.825960804575055,6.866818411688691,0.24342841302207774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8000000000000002,0.4218487394957983,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,73.8,0
1JRJ,6,False,37,3.8951685763085564,5.189762806865426,6.1405001606806735,0.2551692151307243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.7384615384615385,0.41235392320534225,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,75.86,0
1JRJ,7,True,37,2.3180653144257755,4.173709728127655,5.152934408129041,0.4731400581844641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8615384615384615,0.4290484140233723,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,76.3,0
1JRJ,8,False,37,3.4680474225392084,5.120689256424616,6.1901077596229745,0.3588996329202187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.723076923076923,0.3983193277310924,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,75.38,0
1JRJ,9,False,37,4.2586677341677905,5.820691370423274,7.217623499850124,0.24114069404501823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.723076923076923,0.38564273789649417,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,74.17,0
