i,j,partner_a,partner_b,kind
5,9,F5,L9,helix
15,19,E15,R19,helix
17,21,A17,F21,helix
22,26,I22,K26,helix
26,30,K26,P30,helix
29,33,G29,G33,helix
31,35,S31,P35,helix
3,8,G3,D8,sheet
8,13,D8,M13,sheet
8,14,D8,E14,sheet
11,18,K11,V18,sheet
12,18,Q12,V18,sheet
13,18,M13,V18,sheet
18,25,V18,L25,sheet
18,36,V18,P36,sheet
18,37,V18,P37,sheet
25,32,L25,S32,sheet
25,34,L25,A34,sheet
25,36,L25,P36,sheet
25,37,L25,P37,sheet
27,32,N27,S32,sheet
27,34,N27,A34,sheet
27,36,N27,P36,sheet
27,37,N27,P37,sheet
28,34,G28,A34,sheet
28,36,G28,P36,sheet
28,37,G28,P37,sheet
32,37,S32,P37,sheet
