i,j,distance_angstrom,sigma_angstrom,confidence,provenance
5,8,7.00,2.3,0.70,NMR_NOE
5,9,13.90,4.6,0.40,NMR_NOE
6,9,7.00,2.3,0.70,NMR_NOE
6,10,5.00,1.7,0.85,NMR_NOE
7,10,7.00,2.3,0.70,NMR_NOE
7,11,5.00,1.7,0.85,NMR_NOE
8,11,7.00,2.3,0.70,NMR_NOE
8,12,5.00,1.7,0.85,NMR_NOE
9,12,7.00,2.3,0.70,NMR_NOE
9,13,5.00,1.7,0.85,NMR_NOE
10,13,7.00,2.3,0.70,NMR_NOE
10,14,5.00,1.7,0.85,NMR_NOE
11,14,7.00,2.3,0.70,NMR_NOE
12,15,7.00,2.3,0.70,NMR_NOE
12,16,11.50,3.8,0.40,NMR_NOE
13,16,7.00,2.3,0.70,NMR_NOE
17,20,7.00,2.3,0.70,NMR_NOE
17,21,5.00,1.7,0.85,NMR_NOE
18,21,7.00,2.3,0.70,NMR_NOE
18,22,5.00,1.7,0.85,NMR_NOE
19,22,7.00,2.3,0.70,NMR_NOE
19,23,5.00,1.7,0.85,NMR_NOE
20,24,5.00,1.7,0.85,NMR_NOE
21,24,7.00,2.3,0.70,NMR_NOE
21,25,5.00,1.7,0.85,NMR_NOE
22,25,7.00,2.3,0.70,NMR_NOE
22,26,5.00,1.7,0.85,NMR_NOE
23,26,7.00,2.3,0.70,NMR_NOE
23,27,5.00,1.7,0.85,NMR_NOE
24,27,8.38,2.8,0.55,NMR_NOE
