i,j,distance_angstrom,sigma_angstrom,confidence,provenance
5,8,7.50,2.5,0.55,NMR_NOE
5,9,8.60,2.9,0.55,NMR_NOE
6,9,6.50,2.2,0.70,NMR_NOE
7,10,6.00,2.0,0.70,NMR_NOE
7,11,7.00,2.3,0.70,NMR_NOE
8,11,5.50,1.8,0.70,NMR_NOE
8,12,7.00,2.3,0.70,NMR_NOE
9,12,5.50,1.8,0.70,NMR_NOE
9,13,8.00,2.7,0.55,NMR_NOE
10,13,6.00,2.0,0.70,NMR_NOE
11,14,6.00,2.0,0.70,NMR_NOE
12,15,5.50,1.8,0.70,NMR_NOE
12,16,7.00,2.3,0.70,NMR_NOE
13,16,6.00,2.0,0.70,NMR_NOE
14,17,6.00,2.0,0.70,NMR_NOE
14,18,7.00,2.3,0.70,NMR_NOE
15,18,5.50,1.8,0.70,NMR_NOE
16,19,6.00,2.0,0.70,NMR_NOE
16,20,7.00,2.3,0.70,NMR_NOE
17,20,5.50,1.8,0.70,NMR_NOE
17,21,7.00,2.3,0.70,NMR_NOE
18,21,5.50,1.8,0.70,NMR_NOE
18,22,7.00,2.3,0.70,NMR_NOE
19,22,5.50,1.8,0.70,NMR_NOE
20,23,5.50,1.8,0.70,NMR_NOE
21,24,5.50,1.8,0.70,NMR_NOE
21,25,7.80,2.6,0.55,NMR_NOE
21,36,8.50,2.8,0.55,NMR_NOE
21,37,6.50,2.2,0.70,NMR_NOE
22,25,5.50,1.8,0.70,NMR_NOE
22,26,7.00,2.3,0.70,NMR_NOE
23,26,5.50,1.8,0.70,NMR_NOE
23,27,7.00,2.3,0.70,NMR_NOE
24,27,6.00,2.0,0.70,NMR_NOE
24,29,7.00,2.3,0.70,NMR_NOE
24,30,5.90,2.0,0.70,NMR_NOE
24,34,7.00,2.3,0.70,NMR_NOE
24,35,7.00,2.3,0.70,NMR_NOE
24,36,6.50,2.2,0.70,NMR_NOE
24,37,8.50,2.8,0.55,NMR_NOE
25,28,8.00,2.7,0.55,NMR_NOE
25,29,4.90,1.6,0.85,NMR_NOE
25,30,8.00,2.7,0.55,NMR_NOE
27,32,8.00,2.7,0.55,NMR_NOE
28,32,8.50,2.8,0.55,NMR_NOE
29,32,7.50,2.5,0.55,NMR_NOE
30,33,7.00,2.3,0.70,NMR_NOE
