i,j,distance_angstrom,sigma_angstrom,confidence,provenance
9,12,6.07,2.0,0.70,NMR_NOE
10,13,6.54,2.2,0.70,NMR_NOE
11,14,5.95,2.0,0.70,NMR_NOE
12,15,6.29,2.1,0.70,NMR_NOE
13,16,5.83,1.9,0.70,NMR_NOE
13,17,6.79,2.3,0.70,NMR_NOE
14,17,7.00,2.3,0.70,NMR_NOE
15,18,5.43,1.8,0.70,NMR_NOE
16,19,6.10,2.0,0.70,NMR_NOE
17,20,5.55,1.8,0.70,NMR_NOE
18,21,5.98,2.0,0.70,NMR_NOE
19,22,5.49,1.8,0.70,NMR_NOE
20,23,5.83,1.9,0.70,NMR_NOE
20,24,7.10,2.4,0.55,NMR_NOE
21,24,5.67,1.9,0.70,NMR_NOE
22,25,5.30,1.8,0.70,NMR_NOE
23,26,5.95,2.0,0.70,NMR_NOE
24,27,5.98,2.0,0.70,NMR_NOE
25,28,6.17,2.1,0.70,NMR_NOE
26,29,5.86,2.0,0.70,NMR_NOE
